Word,Number,Definitions,Type,Etymology
riggament,0,,,
riggamifix,0,"makeshift, temporary solution",n,
riggie,0,ridge (esp in knitting and mostky in plural: the garter stitch ridges),n,
riggin,0,roof ridge,n,
riggit,0,,,
right,0,correct,adj,
rigrøni,0,,,
rikkel,0,"emaciated being,poor piece of construction",n,
rikkel o banes,0,,,
rimska,0,frolicksome or lustful mood,n,
rin,0,run,v,
ring,0,ring,n,
ringlit,0,horizontally striped,adj,
rink,0,,,
rinkel,0,tinkle,v,
rinker,0,"close-fitting woollen cap, usually worn by women",n,
rinks,0,make a clattering noise,v,
rint,0,piece of tattered clothing,n,
rintypells,0,tatters,n,
riot,0,riot,n,
rip,0,"handful of cornstalks,cut along peatbank",n,
ripe,0,clear ashes,v,
rippek,0,,,
ripper,0,peat turves cutter,n,
rise,0,rise,v,
risk,0,cut with sickle,v,
risp,0,"file, rasp,rasping sound",n,
rissenin,0,shimmering,adj,
rissie,0,ridge,n,
rit,0,sheep's earmark consisting of a vertical slit in the ear,n,
rivalry,0,rivalry,n,
rive,0,tear,v,
river,0,river,n,
rivin o da dim,0,dawn,n,
rivleen,0,shoe made of leather (with fur out); snug slipper,n,
rivvick,0,fissure,n,
roam,0,roam,v,
roan,0,plunder,v,
roar,0,roar,v,
rob,0,rob,v,
robbi rutl,0,,,
robbie cuddie,0,Shetland wren,n,
rock,0,rock,n,
rød,1,"consult, advise",v,"Obs. but in compounds. < ON ráða 'to consult, agree, advise, resolve, rule, read, interpret' (> Da., No. rå(de), Sw. råda all 'to advise; rule; prevail; be') < PGmc. *rēdaną 'to decide, advise' < PIE *Hreh₁dʰ- 'to think, arrange, succeed, accomplish'"
rød,2,empty talk,n,
rodd,0,road,n,"OSc. rod(d) 'path, track, road' (fr. 1231) uncertain origin. OSc. rade 'a foray' (fr.1420), 'a roadstead' (fr.1425) < eOE raad, raat 'journey, ride; raid, expedition' < PGmc. *raidō 'ride, journey' < PIE *Hreydʰ- 'to journey, be in motion'"
røf,0,roof,n,
roilt,0,large object,n,
røl,0,young horse,n,
rolag,0,wool rolled between carders,n,
role,0,role,n,
roll,0,roll,v,
roller,0,roller,n,
Roman,0,Roman,adj,
Romance,0,"Romance; relating to group of Indo-European languages that descended from Latin, eg. French, Spanish, Portuguese, Italian, Catalan, Occitan, Romanian, etc.",adj,
ron,0,,,
rønnie,0,heap of stones,n,
roo,0,pluck off wool by hand,v,
rooder,0,,,
roodery skerry,0,,,
roog,0,heap,n,
rook,0,smoke,v,
room,0,room,n,
roond,0,round,adj,
roondaboot,0,roundabout,n,
roop,0,auction sale,n,
rooscadd,0,,,
roose,0,blazing fire,n,
roosk,0,"big, strapping fellow",n,
roost,0,tide race,n,
rooster,0,strongly blazing fire,n,
rooth,0,"piece of wood on gunwale of boat over which oar works as it is being rowed, to prevent chaffing",n,
ropp,0,rope,n,
røs,0,praise,v,
rose,1,erysipelas,n,
rose,2,rose,n,
roset,0,resin,n,
rost,0,,,
rot,0,rot,v,
røt,0,"root,poke around",n,
rotation,0,rotation,n,
rotational,0,rotational,adj,
rotchie,0,,,
rotten,0,rotten,adj,
rough,0,rough,adj,
roughly,0,roughly,adv,
roup,0,"auction sale,sell by auction",n,
rout,0,"shout,shout",n,
route,0,route,n,
routine,0,routine,n,
røv,0,washer to which the nail is clenched in fastening planks of a boat,n,
rovek,0,,,
rowe,0,roll,v,
rower,0,wool rolled between carders,n,
rowl,0,,,
royal,0,royal,adj,
rub,0,rub,v,
rubber,0,rubber,n,
rubbish,0,rubbish,n,
ruby,0,ruby,n,
ruckeli,0,uneven,adj,
rudder,0,barnacle,n,
ruddery skerry,0,barnacle covered rock,n,
rudge,0,gather loose stones off arable land,v,
rüf,0,roof,n,
rug,0,pull with intermittend jerks,v,
rugg,0,,,
ruin,0,ruin,n,
rukkel,0,,,
rukkeli,0,,,
rule,0,rule,n,
ruler,0,ruler,n,
rum,0,rum,n,
rumble,0,rumble,n,
rummel,0,"collapse, esp. loose stones",v,
rummelation,0,,,
rumse,0,rummage,v,
run,1,curdled (eg milk),adj,
runch,0,spanner,n,
rung,0,blow,n,
runk,0,break in bad weather,n,
runks,0,move awkwardly,v,
runn,1,"run,run,landslide",v,
runn,2,landslide,n,
runnick,0,open drain,n,
runrig,0,,,
runshick,0,,,
runshie,0,wild mustard,n,
runt,0,cabbage stem,n,
rupture,0,rupture,v,
rural,0,rural,adj,
rush,0,rush,n,
rushie,0,,,
russa,0,mare,n,
Russian,0,Russian,n,
russie,0,stallion,n,
russie foal,0,Fetlar person,n,
rut,0,,,
rutl,0,,,
-s,1,plural suffix,n,
-s,2,present tense singular marker,v,
=s,1,be.sg.prs,v,
=s,2,genitive marker,prt,
saa,2,"saw,saw",n,
saadust,0,sawdust,n,
saand,0,sand,n,"OE sand, sond < PGmc. *sanðaz < earlier *samdo-, *samðaz 'sand' < PIE *sámh₂dʰos 'sand', poss. deriv. *sem- 'to pour'"
saandiloo,0,ringed plover,n,
saandy eel,0,young sand eel,n,
saas,0,sauce,n,
saaser,0,saucer,n,
saat,0,"salt,salt",n,
saat cuddie,0,"straw container for salt, hung by the fireside",n,
saatbrak,0,spray and foam from breaking surge,n,
sab,0,soak,v,
sachet,0,sachet,n,
sack,0,sack,n,
sad,0,sad,adj,
saddle,0,saddle,n,
sae,1,wooden tub,n,
sae,2,so,adv,
Sae be dat!,0,,,
sae lang,0,moment,n,
sael,0,sale,n,
saeparit,0,separate,adj,
saerch,0,search,v,
saet,0,seat,n,"OSc. seit(t), seytte, sa(i)t(t)(e) < Old Norse sǽti < PGmc *sǣtia- < PIE *sēd-i̯o-, deriv. *sed- 'sit'"
safe,0,safe,adj,
safely,0,safely,adv,
safety,0,safety,n,
saft,0,soft,adj,
saga,0,saga,n,
saide,0,saithe,n,
saide fül,0,lesser black-backed gull,n,
sail,0,"sail,sail",n,
sailboat,0,sailboat,n,
sailor,0,sailor,n,
sailor's hope,0,,,
sain,0,bless,v,
saint,0,saint,n,
sair,0,"be sufficient,severe, sore, painful,sorely",v,
saison,0,season,n,
saks,0,"cut(s), incision(s),cut, make incisions",n,"Obsolete. ON sax (pl. sǫx) 'one-edged sword, backsword; shears' (verbalised as saxa 'to chop, cut up, etc') < PGmc. *sahsą 'dagger, knife; stone chip used for cutting' (< PIE *sek- 'to cut'), whence > OE se(a)x, syx 'knife, dagger' > Mod.Eng. sax (pl. saxes) 'slate-cutter's hammer, slate-ax'. The name for the ancient WGmc tribe that lived at the eastern coast of the North Sea, the Saxons, derives from the same PGmc. root"
sal,0,shall,aux,Contracted form I'se. Negative sanna
salary,0,salary,n,
salist,0,pause for a moment,v,
sall,0,shall,aux,
sally,0,,,
saloon,0,saloon,n,
salvation,0,salvation,n,
sam,0,same,adj,
sammas,0,as if,conj,
sandal,0,sandal,n,
sandwich,0,sandwich,n,
sang,0,song,n,
sanitary,0,sanitary,adj,
sanitation,0,sanitation,n,
sanna,0,shall not,aux,
santet,0,made to disappear in mysterious fashion,v,
Santie's bird,0,,,
sap,0,small quantity of liquid,n,
saps,0,bread soaked in milk,n,
sarablind,0,,,
sarasløb,0,,,
sark,0,shirt,n,"OSc. sark, serk (ca 1400) < OE s(i)ęrc(e), syrce 'shirt' < PWGmc. *sarki 'shirt' < PGmc. *sarkiz 'shirt; coat of mail' < PIE *ser 'to bind, tie (together); a thread'. Common Gmc word; not direct loan from ON."
sary,0,touchy,adj,
sash,0,sash,n,
sassage,0,saussage,n,
sassermaet,0,spiced minced meat,n,"Shetland specific. Lit. 'food chopped up in small pieces' which aptly describes the dish: beef minced wiht fat, rusks and seasoning. Often erroneously reanalysed to and misspelled as ""saussermeat"" though the dish never had anything to do with saucers or even saussages, and was always formed with the Shaetlan word for ""food"" ie maet (not the StE meat)"
satisfaction,0,satisfaction,n,
satisfy,0,satisfy,v,
save,0,save,v,
say,0,say,v,
scad,0,"hurry,scald",n,
scaff,0,eat up,v,
scaffie,0,street cleaner,n,
scam,0,blemish,n,
Scandinavian,0,Scandinavian,adj,
scar,0,scar,n,
scarf,0,scarf,n,
scart,0,scratch,v,
scat,0,land tax,n,
scattald,0,common grazing,n,
scatter,0,scatter,v,
scavenger,0,scavenger,n,
scene,0,scene,n,
scent,0,scent,n,
schedule,0,schedule,v,
scheme,0,scheme,n,
scholar,0,scholar,n,
scholarly,0,scholarly,adj,
schooner,0,schooner,n,
science,0,science,n,
scientist,0,scientist,n,
sclaeter,0,wood louse,n,
sclate,0,slate,n,
sclaterscrae,0,a pompous fool who talks large about topics s/he knows little about (derogatory),n,
sclates,0,flat pieces of wood nailed to the shank of an oar to prevent its being chafed on the rooth during rowing,n,
scoarn,1,mimic,v,
scoarn,2,scorn,v,
scobbins,0,pan-scrapings,n,
scomfish,0,"overwhelm,choke from smoke or heat",v,
sconn,0,scone,n,
scøp,0,scoop,n,
scord,0,fissure in the skyline of a hill,n,
scordet,0,"cracked through exposure to weather, eg skin of the hands,scored",adj,
score,0,score,n,
Scot,0,Scot,n,
Scotsman,0,Scotsman,n,
Scottie,0,Scottie; Scots speaker from the Scottish mainland,adj,
Scottish,0,Scottish,adj,
scoundrel,0,scoundrel,n,
scout,0,scout,v,
scowe,0,barrel stave,n,
scraep,0,scrape,v,
scratcher,0,scratcher,n,
scream,0,scream,v,
screecham,0,"whisky,concoction",n,
screed,0,swarm,n,
screedin,0,swarming,adj,
screen,0,screen,n,
screw,0,screw,v,
screwdriver,0,screwdriver,n,
scribe,0,mark with a pen on paper,n,
scrit,0,"strike (eg match),write,scraping sound",v,
scroll,0,scroll,v,
scrub,0,scrub,v,
scruffle,0,,,
scry,0,swarm,n,
scud,0,,,
scudder,0,,,
scunge,0,clear out,v,
scunner,0,"dislike,scoundrel,be fed up with",n,
scunneration,0,severe annoyance,n,
scutter,0,"trivial, time comsuming work",n,
=se,0,shall,aux,
sea,0,sea,n,
seabird,0,seabird,n,
seacraa,0,razorbill,n,
seafaerdy,0,seaworthy,adj,
seafarin,0,seafaring,adj,
seaflech,0,sand flea,n,
seafront,0,seafront,n,
seal,0,seal,v,
seam,0,seam,n,
seaman,0,seaman,n,
seamanship,0,seamanship,n,
seaplane,0,seaplane,n,
seaseeck,0,seasick,adj,
seaview,0,seaview,n,
seaward,0,seaward,adv,
seck,0,,,
secondary,0,secondary,adj,
secret,0,secret,n,
sect,0,sect,n,
section,0,section,n,
secure,0,secure,adj,
security,0,security,n,
see,0,see,v,
seeck,0,sick,adj,
seed,0,seed,n,
Seein as,0,,,
seek,0,be on heat,v,
seem,0,"seem,notice",v,
seemlar,0,similar,adj,
seemlarly,0,similarly,adv,
seemly,0,seemly,adj,
seeven,0,seven,cardnum,
seevent,0,seventh,ordnum,
seeventeen,0,seventeen,cardnum,
seeventiet,0,seventieth,ordnum,
seeventy,0,seventy,cardnum,
seggiflooer,0,yellow iris,n,
sel,0,self,n,"OE se(o)lf, sylf < PGmc *selbaz < PIE *selbʰ- 'one's own', deriv. *s(w)é 'separate, apart'"
seldom,0,seldom,adv,
sell,0,sell,v,
sem,0,type of nail used to fasten the planks of a boat,n,
semaphore,0,semaphore,n,
send,0,send,v,
senior,0,senior,adj,
sense,0,sense,n,
sensible,0,sensible,adj,
Sent airrants,0,,,
sentence,0,sentence,n,
September,0,September,n,
septic,0,septic,adj,
sergeant,0,sergeant,n,
serious,0,serious,adj,
seriously,0,seriously,adv,
sermon,0,sermon,n,
servant,0,servant,n,
serve,0,serve,v,
service,0,service,n,
serviceman,0,serviceman,n,
session,0,session,n,
set,0,"set,plant,set",v,"PIE *sodéyeti > PGmc. *satjaną 'to set, to place (down)'> OE sęttan, NOE setta > Sc. set(t)."
Set at,0,,,
Set da door tae da back,0,,,
Set dee doon,0,,,
Set me hert apøn,0,,,
Set me tae da fire,0,,,
Set on,0,,,
Set up,0,,,
Set wis aff fir,0,,,
setback,0,setback,n,
setneen,0,weaned lamb that has been added to the flock of breeding ewes,n,
setter,0,,,
Setterdy,0,Saturday,n,
settle,0,settle,v,
settlement,0,settlement,n,
settler,0,settler,n,
setup,0,setup,n,
several,0,several,det,
severe,0,severe,adj,
severely,0,severely,adv,
sex,0,sex,n,
sey,0,say,v,
shaa,0,show,v,"OE sceauia, sceowia, scawian 'to look at, watch; to examine' < PGmc. *skawwōną/*skawòjanan 'to look, see, watch, observe' < PIE *(s)kewh₁- 'to perceive, observe'"
shaal,0,shawl,n,
shaald,0,shallow,adj,
shaarg,0,"nag, argue cantankerously",v,
shaav,0,gnaw,v,
shackleben,0,wrist,n,
shadow,0,shadow,n,
shaef,0,sheaf,n,
shaela,0,dark grey,adj,
shaepe,0,shape,n,
shaepherd,0,shepherd,n,
shaest,0,chase,v,
Shaetlan,0,language variety,n,
shaft,0,shaft,n,
shair,0,chair,n,"MEng. chaere, cheiere, chaȝer, schayer, etc < Anglo-Norman chaëre < Lat. cat(h)edra 'seat' < Greek καθέδρα (kathédra) 'seat, throne, chair, sitting position, etc' deriv. κατά (katá) 'down' (< PIE *ḱm̥ta 'near, beside, along, with, etc') +‎ ἕδρα (hédra) 'seat' (< PHell. *hédrā < PIE *sedreh₂, deriv. *sed- 'to sit' )"
shak,0,shake,v,
shakeens o da büddie,0,"last remnants of contents in a basket,last child in a large family",n,
shalder,0,oystercatcher,n,
shall,0,shell,n,
shallo,0,shallow,adj,
shalmilleens,0,smithareens,n,
shalter,0,"shelter,shelter",n,
sham,0,grimace,v,
shampoo,0,shampoo,n,
shamse,0,,,
shance,0,chance,n,
shanty,0,chamber pot,n,
shap,0,chop,v,
shappincan,0,,,
shappintree,0,potato masher,n,
shappit,0,,,
shappit tatties,0,mashed potatoes,n,
share,0,share,v,
shark,0,Bressay person,n,
sharlpin,0,pin of a wooden door hinge,n,
sharn,0,cow dung,n,
sharnie,0,mucky,adj,
sharnie flee,0,muck fly,n,
sharnie lackie,0,sheep's intestines,n,
sharp,0,"sour,sharp",adj,
shask,0,drudgery,n,
shave,0,shave,v,
She she!,0,,,
shears,0,scissors,n,
sheave,0,slice of bread,n,
shed,0,shed,n,
sheek,0,cheek,n,
sheekbane,0,cheek bone,n,
sheek-for-showe,0,cheek-by-jowl,adv,
sheeks,0,"speak excessively, gossip,excesive speech",v,
sheeksfoo,0,mouthful,n,
sheeksrivin,0,jocukar term for meeting or discussion,n,
sheeksy,0,garrulous,adj,
sheeld,0,fellow,n,
sheen,0,shine,v,"OSc. schene (1400), scheyne (1500) < OE sċīene, scíene, scéne, scéone, scíone, scýne, scíne, etc, adj. 'beautiful, fair, bright, brilliant, light', used as a verb from 15C on. < PGmc. *skauniz 'beautiful, shining' < Pre-Gmc *skowh₁nis 'watchable' (vb adj), deriv*skawaną < PIE *(s)kewh₁- 'to perceive, pay attention'"
sheep,0,sheep,n,
sheep tief,0,Yell person,n,
sheephadd,0,walled enclosure which is capable of keeping sheep out,adj,
sheep's gaet,0,sheep track,n,
sheerlin,0,singing,v,
sheet,0,speed,n,
sheid,0,shade,n,
Sheltie,0,Shetland pony,n,
sheriff,0,sheriff,n,
sherry,0,sherry,n,
Shetland Bus,0,clandestine operation in support of the Norwegian restistance during World War II linking Shetland and Norway,n,
Shetlander,0,Shetlander,n,
shew,0,sew,v,
shicken,0,chicken,n,
shickenwirt,0,chickweed,n,
shield,0,"shield,shield",v,
shift,0,"move quickly,change clothes",v,
shiggle,0,shake,v,
shiggly,0,shaky,adv,
shill,0,bite out,v,
shilpet,0,"sour, tart",adj,
shimley,0,chimney,n,
shimleynyook,0,chimney corner,n,
shimleysheek,0,,,
shin,1,chin,n,
shin,2,shin (front part of lower leg),n,"OE scinu 'shin' < PGmc *skinō 'plate, rim; piece; shinbone' < PIE *skey- 'to cut, split, dissect'"
shingle,0,shingle,n,
ship,0,ship,n,
shipmaete,0,shipmate,n,
shirtsleeve,0,shirt sleeve,n,
shite,0,"shite; excrement; rubbish,shite",n,
shitten,0,"(vulgar) horrible, awful",adj,
shiv,0,shove,v,
shivvel,0,shovel,v,
sho,0,leaves of potato plant,n,
shø,0,she,pers,
shoard,0,prop,v,
shock,1,bottom of the cheek,n,
shock,2,choke,v,
shock,3,shock,n,
shocks,0,jaws,n,
shoe,0,shoe,n,
shoemakker,0,shoemaker,n,
shøl,1,empty out with a shovel,v,
shøl,2,sheep's mark on ear,n,
sholgirse,0,yarrow,n,
shølibrod,0,old dilapidated article,n,
shølmark,0,,,
sholmit,0,sheep colour patterning with dark marks body and white face,adj,
shoo,0,row with stern foremost by backing with the oars,v,
shooder,0,shoulder,n,
shooer,0,shower,n,
shoogel,0,shake,v,
shooie,0,,,
shoopilti,0,,,
shoormal,0,high water mark,n,
shop,0,shop,n,
shopkeeper,0,,,
shore,0,shore,n,
shorebod,0,breaking sea,n,
short,0,short,adj,
shortcut,0,shortcut,n,
shorten,0,shorten,v,
shorthaand,0,shorthand,n,
shortly,0,shortly,adv,
shot,0,attempt,n,
shøt,0,"shoot, small plant",n,
shott,0,"compartment or room in a sixareen stern, used for holding the catch,burst",n,
shout,0,shout,v,
showe,0,"chew,argue",v,< chew (cf. ME schewe). OE ċēowan 'to chew' < PGmc. *kewwaną 'to chew' < PIE *ǵ(i̯)ewh₁- 'to chew'
shrapnel,0,shrapnel,n,
shud,0,shuffling noise,n,
shug,0,light drizzle,n,
shuggar,0,sugar,n,
shuggy,0,drizzly,adj,
shun,0,small loch,n,"Shetland specific. < ON tjǫrn 'small loch, pond, tarn; pool' (cf. Isl. tjörn 'pond, small loch', Far. tjørn 'id.' No., Da. tjern, Sw. tjärn 'small lake (in forest/mountain)') < PGmc. *ternō '(mountain) lake [without tributaries]; watering hole; small pool' < PIE *der- 'to split, separate; tear, crack, shatter'. Cogn. Sc. & Eng. tarn"
shün,1,soon,adv,"OE sōna 'immediately, at once' < PGmc. *sēna, *sēnô 'immediately, soon, then' deriv. *sa 'that' < PIE *só 'this, that' (animate demonstrative)"
shurg,0,"wet, gravelly subsoil",n,
shurgy,0,wet,adj,
shurl,0,,,
shut,1,"close, shut",v,
shut,2,cast line(s) overboard in fishing,v,
shut,3,shoot,v,
Shuttin tae da lent,0,,,
sib,0,"blood relative,related by blood",n,
sibilant,0,sibilant,adj,
sic,0,such,det,
sic a,0,such a,det,
sic an sic,0,,,
siccant,0,second,ordnum,
siccar,0,fierce,adj,
siccind,0,second (unit of time),n,
sich,0,sigh,v,
sicht,0,sight,n,
sicker,0,"vengeful, intensely begrudging",adj,
siclaek,0,so so,adj,
sicn,0,"such (a), so very",adv,
sicn a,0,such a,det,
sid,0,inner husk of oats,n,
sidd,0,,,
siddy,0,containing husks,adj,
side,0,side,n,
sideboard,0,sideboard,n,
sidelins,0,sideways,adv,
sidey-fir-sidey,0,side by side,adv,
sideywyes,0,sideways,adv,
sids,0,,,
sieve,0,sieve,n,
sift,0,sift,v,
sigg,0,"exclamation to incite a dog to chase an animal,incite a dog to attack",interj,
siggie,0,yellow iris,n,
sign,0,sign,n,
signal,0,signal,n,
signature,0,signature,n,
signify,0,matter,v,
sile,0,short iron bar across the under side of the eye of the upper millstone of a watermill,n,
silection,0,selection,n,
silence,0,silence,n,
silicon,0,silicon,n,
silk,0,silk,n,
sill,0,milt of the male fish,n,
sillik,0,coalfish in its first year,n,
silly,0,"feeble, sickly",adj,
silver,0,silver,n,
simmen,0,straw rope,n,
simmer,0,summer,n,
simmer blink,0,short gleam of sunshine,n,
simmer dim,0,"twilight,summer solstice",n,
simmer mirr,0,,,
simmermal,0,"3 April, traditionally regarded as the first day of summer and supposed to indicate what the weather of the summer will be",n,
simmermal dance,0,the shimmering effect of light on a hot summer day,n,
simmins,0,ropes made of straw or floss. Typically used to hold down roof thatch or cornstacks.,n,
simmit,0,,,
simply,0,simply,adv,
sin,0,since,conj,
sin syne,0,since then,prep,
sinder,0,separate,v,
sindry,0,"apart, asunder",adv,
sing,0,sing,v,
singer,0,singer,n,
single,0,single,adj,
singular,0,singular,n,
sink,0,destroy,v,
sinkation,0,volley of curses and abuse,n,
sinnen,0,sinew,n,
sinni,0,,,
sinnigirse,0,long grass growing between rocks at seashore,n,
sint,0,very small quantity,n,
sip,0,sip,n,
sipe,0,very small quantity of liquid,n,
sir,0,sir,n,
sirpin,0,soaking wet,adj,
sister,0,sister,n,
sister-in-laa,0,sister-in-law,n,
sistie moose,0,,,
sit,0,sit,v,
site,0,site,n,
sitter,0,disappointment,n,
situate,0,situate,v,
situation,0,situation,n,
siv,0,,,
six,0,six,cardnum,
sixareen,0,six-oared boat,n,
sixt,0,sixth,ordnum,
sixteen,0,sixteen,cardnum,
sixtiet,0,60th,num,
sixty,0,sixty,cardnum,
size,0,size,n,
skaadman's head,0,sea urchin,n,
skaap,0,bed of mussels,n,
skaar,0,small amount,n,
skae,0,happen,v,
skaer,0,"join two pieces of wood with a scarf-join, eg planks of a boat",v,
skaer taft,0,furthest boat seat,n,
skail,0,scatter,v,
skairet,0,,,
skalva,0,snow falling in large flakes,v,
skam,0,,,
skarf,0,shag,n,
skat rooth,0,"row a boat with one person on the forward seat and one on the mid seat, each with a single oar",v,
skave,0,askew,adj,
skavel,0,to make askew,v,
skeb,0,large straw basket for holding straw in a barn,n,
skebbek,0,,,
skeck,0,look,v,
skeek,0,economise,v,
skeet,0,"squirt,skim over surface",v,
skeetel,0,"slide, slip",v,
skeetik,0,squid,n,
skeetitrumps,0,,,
skein,0,skin,n,
skeinjoop,0,oilskin jacket,n,
skekler,0,guizer dressed in straw costume,n,
skelf,0,"shelf,ledge",n,
skelk,0,,,
skelp,0,"slap,slap,move rapidly",v,"O.Sc. skelp 'a blow' (1540); 'to smack, clash' (1590); cf. ME scelpe 'to strike, slap; a blow, slap'. Orig. unknown; prob. imit."
skenkhoch,0,,,
skeo,0,a hut for storing and wind drying fish or meat,n,
skepp,0,,,
skepteen,0,,,
skerpeen,0,,,
skerry,0,rocky islet in sea,n,
sketch,0,sketch,v,
skevelled,0,askew and misshapen,adj,
skewwheef,0,"distorted,crooked",adv,
skildereen,0,,,
skile,0,"oeer, peer,look with eyes shielded",v,
skilin brod,0,,,
skipper,0,skipper,n,
skirl,0,laugh shrilly,v,"OSc. skirl 'to shriek' (1508) 'a scream, yell' (1513); ME skirle (1400) < scrille, skrille 'to scream, shriek, cry out shrilly'. Loan Scand., cf No. skrella, Sw. skrälla 'make loud noise', ult. < PGmc. *skrellanan 'imit.'"
skirt,0,skirt,n,
skit,0,excrement,n,
skitter,0,diarrhoea,n,
skitter ida slap,0,last load of corn to be taken into the yard at harvest,n,
skitteroolet,0,,,
sklent,0,tear,v,
skoag,0,fishing line,n,
skøfsin,0,,,
skoilt,0,"a broken piece, shard",n,
skoit,0,look with a purpose,v,
skol,0,oblong wooden box to keep fishing gear in,n,
skooder,0,scorch,v,
skooi,0,great skua,n,
skoolm,0,scowl,v,
skoom,0,"clear away forcibly,froth, foam",v,
skoomer,0,,,
skoor,0,"wash,diarrhea",v,
skoot,0,bird droppings,n,
skootiealan,0,arctic skua,n,
skorie,0,young gull still in its speckled plumage,mod,
skran,0,odds and ends of gathered rubbish,n,
skrech,0,screech,n,
skreebie,0,"cowardly,timid",adj,
skrieve,0,write,v,
skrime,0,"peer,barely distinguish,glimpse,faint light",v,Orkney & Shetland specific. < ON skrím 'faint light; shimmer' < PIE *(s)krei- 'shine (out)'
skrit,0,haste,n,Shetland specific. Orig. uncertain.
skrivleen,0,,,
skrøf,0,surface,n,
skrøfl,0,,,
skroil,0,fragments,n,
skrointer,0,toilet,n,
skrøl,0,screeching noise,n,
skrolti,0,,,
skroo,0,corn stack,n,
skrotti,0,"lichen (Parnelia saxatilis) from which natural dye can be made,reddish orange colour, made from lichen dye",n,
skrovvel,0,scrabble,v,
skruffel,0,rustle,v,
skrug,0,,,
skruttle,0,,,
skub,0,misty drizzle,n,
skubb,0,,,
skudd,0,,,
skuddimøld,0,,,
skül,0,school,n,"OE scolu (earlier form), scōl (later form) 'place of education' < Lat. sc(h)ola, scola 'learned discussion or dissertation, lecture, school' < AGr. σχολεῖον (skholeîon), deriv. σχολή (skholḗ, 'spare time, leisure; conversations and the knowledge gained through them during free time; the places where these conversations took place') < PIE *seǵʰ- 'to hold, have, possess'."
skülbairns,0,pupils,n,
skülcar,0,school transport (bus or car),n,
skult,0,skull,n,
skülwark,0,studies,n,
skunge,0,clear away,v,
skurdi,0,,,
skurm,0,"outer shell, eg eggshell",n,"Shetland & Orkney specific. < O.N. skurnr 'a shell' (Icel. skurma 'to peel, scale off', skuru 'egg-shell', NyNo skurn 'hard shell'), possibly deriv. of skera 'to cut' < PGmc. *skeraną 'to shear, cut' < PIE *(s)ker- 'to cut off'"
skurt,0,"bosom within folded arms,improvised container made by raising the bottom cuff of a jumper",n,
skurtfoo,0,amount carried in a skurt,n,
skutamillaskroo,0,hide-and-seek,n,
sky,0,sky,n,
skyaag,0,goose pen,n,
skyefset,0,askew,adj,
skyimp,0,"praise ironically,ironic praise, used to deflate someone pompous",v,
skyinbow,0,Shetlan reel tune played on the fiddle,n,
skylicht,0,skylight,n,
skyoamit,0,sickle in appearance,adj,
skyug,0,take shelter,v,
skyumpie,0,"large, mossy peat, typically the outermost in each row",n,
slab,0,slab,n,
slack,0,slack,adj,
slacky,0,hollow between hills,n,
slaete,0,slate,n,
slaeter,0,wood louse,n,
slag,0,stretch,v,
slaggit,0,,,
slaiver,0,"drool,drool",v,
slang,0,slang,n,
slap,1,"break in a wall,breach a wall",n,
slap,2,slap,n,
slash,0,slash,v,
slashy,0,"heavy, esp showers",adj,
slave,0,slave,n,
sleb,0,underlip,n,
sleekit,0,sly,adj,
sleeky,0,conger eel,n,
sleep,0,sleep,n,
sleeve,0,sleeve,n,
slefset,0,,,
slender,0,slender,adj,
slepse,0,"eat in a slobbering manner,kiss excessively",v,
slester,0,gooey mess,n,
slice,0,slice,n,
slicht,0,"smooth,flat calm",adj,
slidder,0,,,
slide,0,slide,v,
slim,0,,n,
sling,0,,,
slip,0,"slip,let off",v,
sløb,0,,,
sløbi,0,,,
slochter,0,slaughter,n,
slock,0,"slake or quench thirst,extinguish fire or light",v,"OSc. slok 'to quench' (1400); early loan into OSc & ME < ON slokinn 'extinguished', pstptc of sløkkva 'to extinguish' < PGmc. *slakwjaną 'to (cause to) extinguish; quench', caus. of *slekwaną 'to extinguish, go out'. Further etymology unknown. Cf. NyNo. sløkke, Sw. släcka, Da. slukke, all ‘stop burning; be extinguished’"
slockeneen,0,satisfying drink,n,
slockit,0,extinguished,adj,
sloo,0,"slovenly, lazy person,slattern,loiter or hang about idly",n,"Shetland specific. < ON slóði 'branches/small trees bound together as a drag (to transport hay, or to use as broom, etc); [by extension] tall, lazy, slovenly, sluggish person'. Uncertain origin, poss< PGmc. *slòðjanan 'to trail' (poss < PIE *(s)leu 'lank; hang down lankly') or PGmc. *slīdaną ‘to slide’. Cf. No. sloe 'id'."
sloob,0,slime,n,
sloomit,0,sly and underhand,n,
slott,0,"dish consisting of fish-livers and roe mixed with flour and oatmeal, then boiled and fried",n,
slow,0,slow,adj,
slowly,0,slowly,adv,
slud,0,interval between showers,n,
slug,0,overall worn by women,n,
slundy,0,"mob,stream of abuse",n,
slunk,0,,,
slurd,0,"small, driving rain",n,
slushit,0,slovenly,adj,
slutter,0,"mess, usually as a result of slovenly behaviour",n,
sly,0,green slimy growth on standing or still water,n,
smaa,0,"narrow, slim",adj,
smaa drink,0,Scalloway person,n,
smack,0,smack,n,
smallholder,0,smallholder,n,
smash,0,smash,v,
smatchet,0,"rogue,small, mischievous child",n,
smeeg,0,"smirk,smirk",v,"Shetland specific. Not found in ON, but in various forms in Scand. eg NyNo. smeik(j)e, Sw. smeka 'caress', Da. dial. smige 'to ingratiate oneself' < MLGm smēken 'flatter'. Probably a Hansa loan."
smell,0,"smell,smell",v,
smert,0,quick,adj,
smiddy,0,smithy,n,
